BATUĞ MUTMAN        1109161866CC*CAAADDEABBCAAEABCBACEBEBEACDCEDEBBECBBCBBAEBECDECCDBEEEBBDBBACEEDADCCCBBECBDCDACADADBEADDBACC                                                                                                                                                           
ASYA SEMA KARABAĞ   2760221687DDACCBEBECABEACBCBABEBEDCBCCAECBEDBCDBCCEBEEBCAEEEECDCAEEEBADBBEBECBBEDCCBCCDAADBEABDBDDCDCBCCDA                                                                                                                                                           
ÜNKAN ÇİNİ          2801035655CCBCBEBADEABCCADEABCBECEBEBEACDCEDDDDECBCCABAECCCDEAACCEEEBBEBBACEDDBDCCBBBECBDCAAADDDDBEABEEBED                                                                                                                                                           
ULAŞ CAN OKAN       2803980846BCABDAEACAEACBECBABEABCECBCEBBECDEBCCEAECDCECACCECEEECEDEAEBBCBADECCBBDCECCBCDCBECDADCEABEBECBBB                                                                                                                                                           
ALYA DENİZGÜNÜ      2845880818BCABDBEACAEACBECBABEABEDCBCBBBEDAEBCCEBECDCBCAEEECDEEAEEEBEBBEBADECCBBDCEBCBCDCBDBDADBEAEDBDCDBD                                                                                                                                                           
KEVSER PORTAKAL     2858226735CCBCAEBADEABCBAAEACCBECEBEBEACDCEDEBDECBBCBBAEBDCDEAECCEEEBBEBBACEDDBDCCBBBECBDADBCDDADBEABCEBCD                                                                                                                                                           
GÖNÜL ÇAĞATAY       2917177454CCBCCEBBDEABCCAAEABCBECEBEBEDCDCEDDBDDCCBCABAECECDEECCCEEEBDCBBACEDDCCCCBBBECCDCDDADDDDBEABDEBEC                                                                                                                                                           
İPEK NAZLI ZABUN    2941885046BCABDAEACAEACBECBACEBBEDCBCBCBEDAEBCCEBECDBECAEBECDEAAECEBEBBEBADECCBBDCEBCBCDCBDCDEDBEABCBECDAD                                                                                                                                                           
ÖĞÜNÇ ŞENCAN        2949914643DDBCDBEAECABDACBCBADEBEDCACEBECBEDBCDBACEBEEBCABEECCDDACCEBADBBEBECBBEDCCBCBCADDBEADDBEDCDCBDCDD                                                                                                                                                           
NUN KESGİN          2957824103CCBCAEBADEABCCAAEABCBECEAEBEACDCEDEBDECBBCBBAEBECDEAEECEEEBEEBBACEDDBDCCABBECBDCAACDDEDBEABDEBCD                                                                                                                                                           
SABİHA ELVAN ATOL   2991553196BCABDAEACAEACBECBABEACDBCACBCBEDBEBEDEBECDBECAEBCCDECAEABBCBBEBADECCBBDCECCCCDABDCDADBBABDBDCAAD                                                                                                                                                           
ESENGÜL SARITEKE    3018547886BCDAABEACAEACBECBACBBCEECBCBEBEEAEBCCEACCDBECAECECCECAECECEBBEBADECCBBDCEACBCDABDBDEDBEADDBCECAA                                                                                                                                                           
ALİ AYDIN KİREZÇİK  3024679885DDDDDBBAECAECACBCBABBDDDCBCACEBBEDBCDBDCEAEEECAEBECCDAEEDEDADBBEBECBBECCCCCBEADDBBADEADDCDCBDCDD                                                                                                                                                           
ALİ OZAN KOVANCI    3024850235DDACDDEAECABEACBCBACEAEDCACBAEBACCBCDCCCEBEEDCAEEEACDCBEEEBADBBEBECBBBCCCACDCBADBEABDBEEEDCADCDD                                                                                                                                                           
UMUT MERT UÇMA      3026974524BCBBDBEACAEBCBECBABEBBDDCBEBCBEEADBCCEBECDCECAEEECDEBAECBDEBBEBADECCBBDCEBCBCDCBECDADBEABEBEEDAD                                                                                                                                                           
AYBAR KÖRMÜKÇÜ      3030639865AEACCABECBBACABBDEAEAEBCCEBDBECCBDDCBCBBBEDBCDEEACECAECEBBEBADCEEBCCCBECBBDBCBEABDBECDDBDCBDBDAD                                                                                                                                                           
ÖZGÜN MERT SUNA     3040001692DDACABEAECABEACBCBABEBCDCBCDAECBEDBCDBCCEBECECAEEEECDCAEEEBADBBEBECBBEDCCBCBCBDDDEABDBEDEDCBDCDA                                                                                                                                                           
AYSEREN BOYUKTAŞ    3053137304DDBCABEAECABEACBCBACEBECCBCBAECAEDBCDBCCEAEECCAEEEBCDCAEDEBADBBEBECBBEDCCBCBDAADBEABEBDDCDCBDCDD                                                                                                                                                           
MELİS MASIR         3058202295DDBCDBEAECABEACBCBADEBCDCBCCAECBEDBCDBCCEBECBCAEEEACDCAEEEBADBBEBECBBEDCCCCBDBDDBEABCEADCDCBDBDA                                                                                                                                                           
AYNUR DİLAN HANCI   3103169236AEACCABECBBACABADEAEAEBCCEBDBECEBDDCACBBCEDBCDEEACECAEEEBBEBADCEEBECCCECBBDBDBEABEBECDDBDCBDCDAD                                                                                                                                                           
MALİK UÇAR          3122876080AEACCBBECBBACABADEAEAEBCCEBDBECEBEDCACBACEABCDEEACECAEAEBBECADCEEBECCBECBBDBDBEABDBDCDDBDCBDCDAD                                                                                                                                                           
TURAN FAHRİ         3141935563BCDBDAEACAEACBECBABEBEEDCAEDCBECAEBCCEBECDBECAECECDEEAECEEEBBEAADECCBBDCEBCCDDCBDCDDDBEABDBDEDDD                                                                                                                                                           
IŞILAY ÖZBEY        3145601729DDACABEAECABEACBCBABEAEDCBCBAECBEDBCDBCCEBECBCAEEEACDAAEEEBADBBEBECBBEDCCCCBDADDCEBEABEDCDABDCDA                                                                                                                                                           
DİLARA ZEYNEP YEKSAN3147488987DDBCABEAECABEACBCBABEBEECBCBAECAEDBCDCCCEBEEBCAEEEACDDAEEEBADBBEBECBBEDCCBCADCBDBEABEBDCCDCBECDA                                                                                                                                                           
FEHİME ŞUHEDA ŞENBAŞ3152144607CCBCACBADEABCCAAEABCBECEBEBEACDCEDBDDDCBBCBAAEBECDEAECCEEEBBEBBACEDDBCCCBBBECBDBDABDDADBEABAEBCD                                                                                                                                                           
HİCRET PALANKO      3161023496AEACCAEECBBACABADEAEAEBCCEBDBECCBEDCBCCACEEACDEEADECAEBEBBEBADCEDBECCCECBBDBDBEAADAECEAADCBDCDED                                                                                                                                                           
ŞANSAL COŞAN        3172274742CCBEDBBBDEACCEABEAEEDECEBEBBEADCCEDBDDDABEDBAECECDACADCEEEBBDBBACEDABCCCBBBECBDCAEADDADCEADDDECE                                                                                                                                                           
LATİFE FATİN        3189254635CCBCDEBACEBBCCAAEABCEECEBCBBACDCEDEBDDCEACABAEAECDEAECCEEEBBEBBACEDDBACCABBECBECAACDDDDBDABDDBCD                                                                                                                                                           
ARKADAŞ NECATİ ÖZTAŞ3208652873CCBCAEBBDEABCCAAEABCCECEAEBBACDCEDEBCCCABCBBAECECDEBEECEEEBBEBBACEDAADCCCEBECBDCAAADDADBEAAEDBEE                                                                                                                                                           
MİHRİNAZ BİLAL      3231946751CCBCDEBADEABCCAAEACCBECEBEBEACDCECABDECABBABAEBCCDAACACEEEBCDBBACEDDCACDABEECBDCDBCDDDDBEABADBCB                                                                                                                                                           
ELİS KUL            3245324412DDACAAAAECABEACBCBABEBCDCBCBAECBEDBCDBCCEBEEBCAEEEECDCAEEEBADBBEBECBBEDCCBCBCADDBEABDBEDCDCBDBDD                                                                                                                                                           
ERHAN ÇIRAY         3249477364CCBCAEBADEABCCAAEABCBECEBEBEACDCEDEBDECBBEBBAEBECDEAECCEEEBBEBBACEDDBCCCBBBECBDCDBCDDADBEABDEBCD                                                                                                                                                           
İSMAİL EGECAN OÇAR  3307015850AEACCABECBBACCBADEAEAEBCCEBDDECCDEDCCCBBCEDBCDDEACECAECEBBEBADCEEBECCBECBBDBDBEAAABDCDDADCBDCBAD                                                                                                                                                           
ZEHRA PELİN DÖGER   3308822136AEACCAEECBCACCEADEAEAEBCAEBDBECEBEBCACBBCEEBCDEEADECAEBEBBEBADCEECECCBECBBDBDBBABEBBCDDBDCBECDAD                                                                                                                                                           
DİLARA TAÇGIN       3331500325AEACCABACBEACBBBDEBEAEBCCEADCECEBECCACACCEDBCDECACECBEBEBBEBADEECCDCCBECEADCEBEABDBCCDDBDCBDCDED                                                                                                                                                           
MEHMET KEMAL DENGİZE3346926596DDACCBEAECABEACBCBABEBDDCBCABECBCDBCDBCCEBEABCAEEEECDDAEEEBADBBEBECBBEDCCBCBCBADBEABDBDEEDCBDBDD                                                                                                                                                           
EVREN POMAY         3351491006AEACCABECBBACABBDEAECEBCEEBDBBCEBCECBCBBCEDBCDECACECAEECBBEBADCEEBECCCECBBDCDCEDDEAECDECDABDCDAE                                                                                                                                                           
ÇELİK BİLGİR        3361778929AEACCABECBBACCBBDEAEAEBCCEBDCECECEBCBCBBCEDBCDEAACEAAEBEBBEBADCEEBECCDECBBDBCBEADDBDCDAAACBDBDAD                                                                                                                                                           
ZEYNEP NESLİHAN UÇAN3375944837BCABAAEACAEACBECBABEBBDDCBEECAEDCEBCCEADCDBECAECECDDABECEBEBBEBADECCBBDCEBCCCDCBDCDDDBEABCBDCEAD                                                                                                                                                           
AYŞİM ULUPINAR      3379687089BCABDAEDCAEACADCBAAEBCDECBCBCBACDEBCBEBECDCECAEEECDBCAEDEBEBBEBCDECCBBDCEBCCEACBDCDADBEAEEADEDAD                                                                                                                                                           
ERGÜN DEĞİRMENDERELİ3428030423AEDACABECBECCDBADEABBEBCCEADCECEBEECCCCBCEEACDEEEAECACECBBECADCEEBECCCEBBBDACCEADEBECCEADABDCDDD                                                                                                                                                           
ALÇİÇEK BAD         3429337270DDACDBEAECABBACBCBABEBEDCBCBAEABEEBCDBCCEBEECCAEEECCDCAECECADBBEBECBBEDCCACCCADDBEAECBDEEDCBDCDA                                                                                                                                                           
GÜL SENA KARABIYIK  3430359471AEACCABECBBACABADEBEAEBCCEADBECEBDDCCCBBCEDBCDEEADECAEBCBBEBADCEEBCCCCECBBCBDBEABDBECDAADCBDBDAD                                                                                                                                                           
GÜROL KUDU          3432340835AEACCABBCBCACEBBDEAEAEBCCEBDBECEDDDCACBBCEDBCDEEBDECAEBEBBEAADEEEBCCCBECBBDBDBEAACBECEDBDCBCCDAD                                                                                                                                                           
ERDOĞAN NALBANT     3440068385CCBCDEBADEABCCAAEADCBECEBEBEACDCCCBDEDCBECBBAEECCDEBECCCEEBBCBBACEDDBBCCBCBECBECABADDADDCABEDBCD                                                                                                                                                           
MAZLUM ALTAN        3442851600CCBCEEBADEABACAAEABCBECECECEAEDCEDEEDECECCBBAEBDCEEAEDCEEEBADBBACCDACCCCCBBDCBDBACCDDEECEADDEBBC                                                                                                                                                           
NAZIM BERKE GÖVEN   3445473457DDBCABEAECABEACBCBABEBCDCBCBAECBEDBCDCCCEAECBCAEEEACDCAEEEBADBBEBECBBEDCCBCBCEDDBEABCBEDCDCBDBDD                                                                                                                                                           
ŞENNUR AĞNAR        3450566944DDACCAEAECABEACBCBABEBEDCDCBCECBEEBCDCECEBBDBCAEEEECDCAEEEDADBBEBECBBEDCCBCECCADBEABDBDDCDBBDCDA                                                                                                                                                           
ELİF NİSAN İMAMOĞLU 3454335411AEAAAABECBBACABADEAEAEBDCEBDBECEBEDCECBBCEDBCDEAADECAEBEBBEBADCEEBECCBECBBDBDAEABDBDCDDADCBDCDAD                                                                                                                                                           
HAMİ AYDOĞDU        3457598381BCABDAEACAEACBECBABEBBCDCBCBCBEDAEBCCEBECDBBCAEAECDEEAECEBEBBEBADECCBBDCEBCBCDCBECDADBEBBDBECDAD                                                                                                                                                           
BEDİR DESTERECİ     3461171141CCBCAEBADEABCCAAEABCCACEBEBEBCDCEDECDDCDBCBBAEEECDEECDCEEEBBEBBACEDDCBCCCEBECBECDACDDADDEABDEBCD                                                                                                                                                           
MANOLYA GÜZELLER    3464864058CCBCAEBADEABDCAAEACCBECEBEDEACDCEDEBEECBACABAEBECDBAEECEEEBBCBBACEDDBDCCBBBECBECEECDDADBEADEDBCD                                                                                                                                                           
OĞUZ SELİM KARAKELLE3475119447CCBCDEBADEABCCAAEABCBECEAEBEACDBEDEBDECBBCBBAEBECDEAECCEEEBBEBBACEDDBCCCBBBECBDCAACDDBDBEABCEBCD                                                                                                                                                           
MERTER GÜLKAN       3483495688AEACCAAEAADECCBADEABAEBCCEADBEDDBEDCBCBBCEDBCDECADECAECEBBEBADCEEBECCBECBBDBCBEABABECBDADCBDCDAE                                                                                                                                                           
İLSEL TÜFEKÇİOĞLU   3488174658BCEBDABACAEACBCCBAEBDBEEC EBDBCEAEBECEAECDCBCAECECCEBAEDEBEBBEBADECCBBDCEACCDDCBDCDEEBEABEEEBDBA                                                                                                                                                           
OGÜN BÖLGE          3498147620BCDBDAEACAEACBECBABEBBEDCBCBCBEEAEBACEAECDBBCAEDECDEEECDECEBBEBADECCBBDCEBCCDDEBECDADBEABAAECDAD                                                                                                                                                           
ENVER DUR           3511851347BCABDAEACAEACBECBABEBBEDCACBCBEDAEBCCEBECDDECAEBECDEEAECEBEBBEBADECCBBCCEBCBDDCBDBDADBEABCBDCDAD                                                                                                                                                           
MÜYESSER AKYİLDİRİM 3517495325BCABDAEACAEAAAECBABEBCDDCBCBCAEDAEBCCEBECDBECAEBECDEAAECEDDBBEBADECCBBDCEBCDEDCBDCDADBEABDBECDBD                                                                                                                                                           
